CUI	DEF
C1869006	Torsade de pointes (TdP) is a form of rapid ventricular tachycardia which can be hereditary or acquired. In some acquired forms, there appear to be genetic predispositions related to sub-clinical potassium channel abnormalities. On electrocardiogram (ECG),TdP is associated with or preceded by polymorphic QRS complexes; other ECG changes include prolonged QT or QTc interval, prominent U waves, T wave alternans or bizarre T wave aberrations, and long-short sequences. TdP can resolve spontaneously, but acquired forms often recur until the underlying cause is corrected, and can progress to ventricular fibrillation. Clinical manifestations include palpitations, dizziness, syncope, and, rarely, sudden death.
C1869007	Myopathy is a disorder of striated muscle, with or without changes in muscle mass, and may be accompanied by muscle pain or tenderness. Rhabdomyolysis results from extensive necrosis of skeletal muscle with release of muscle contents and can be related to hereditary metabolic or structural abnormalities effecting skeletal muscle cells or non-hereditary causes such as (e.g., trauma). Muscle signs and symptoms include pain, weakness, tenderness, and contractures, weight gain, fatigue, malaise, fever, nausea, tachycardia, and dark urine. Potentially serious sequelae include acute renal failure, compartment syndrome, disseminated intravascular coagulation, cardiomyopathy, and respiratory failure.
C1869008	Acute renal failure (ARF) is characterized by a relatively rapid decline in renal function that leads to the accumulation of water, crystalloid solutes, and nitrogenous metabolites in the body. Other clinical features include: increase in serum creatinine and urea nitrogen levels (azotemia) greater than 0.5 and 10 mg per deciliter, respectively; oliguria; and changes in the rate of urine flow. ARF may present with a de novo onset in individuals whose baseline renal function was within normal limits. Additionally, ARF may consist of acute exacerbation of pre-existing chronic renal insufficiency.
C1869009	Disorders of the liver, including signs, symptoms, radiologic and laboratory findings. Sub-searches address cholestatic conditions, neoplasms, non-infectious hepatitis, alcohol-associated, and pregnancy associated conditions involving the liver. Possible drug-related events are also addressed in the sub-searches. Note that biliary disorders (e.g., cholelithiasis) are excluded from this SMQ
C1869010	This SMQ is a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869011	This SMQ is a sub-SMQ of Drug related hepatic disorders - comprehensive search (SMQ), which is itself a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869012	This SMQ is a sub-SMQ of Drug related hepatic disorders - comprehensive search (SMQ), which is itself a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869013	This SMQ is a sub-SMQ of Drug related hepatic disorders - comprehensive search (SMQ), which is itself a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869014	This SMQ is a sub-SMQ of Drug related hepatic disorders - severe events only (SMQ), which is itself a sub-SMQ of Drug related hepatic disorders - comprehensive search (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869015	This SMQ is a sub-search of SMQ Drug related hepatic disorders - severe events only, which is itself a sub-search of SMQ Drug related hepatic disorders - comprehensive search. For detailed description, please refer to the one in SMQ Hepatic disorders. SMQ Liver neoplasms, malignant and unspecified contains two sub-searches, one for malignant tumors, and one for tumors of unspecified malignancy.
C1869016	This SMQ is a sub-SMQ of Drug related hepatic disorders - severe events only (SMQ), which is itself a sub-SMQ of Drug related hepatic disorders - comprehensive search (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869017	This SMQ is a sub-SMQ of Drug related hepatic disorders - severe events only (SMQ), which is itself a sub-SMQ of Drug related hepatic disorders - comprehensive search (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869018	This SMQ is a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ)
C1869019	This SMQ is a sub-SMQ of Drug related hepatic disorders - comprehensive search (SMQ), which is itself a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869020	This SMQ is a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869021	This SMQ is a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869022	This SMQ is a sub-SMQ of Hepatic disorder (SMQ). For detailed description, please refer to the one in Hepatic disorder (SMQ).
C1869023	Hemolytic anemia is characterized by premature destruction of red blood cells and compensatory erythroid hyperplasia. Additional features include increased reticulocyte values, increased unconjugated serum bilirubin and decreased (or absent) serum haptoglobin. Causes can be grouped as follows: due to internal abnormalities of red blood cells (e.g., enzyme defects, hemoglobinopathies); abnormalities of the red cell membrane (e.g., hereditary spherocytosis, paroxysmal nocturnal hemoglobinuria, spur cell anemia); and extrinsic factors (e.g., splenomegaly, drug-induced antibodies, microangiopathic hemolysis, infections, toxins).
C1869024	This SMQ was developed to identify cases of severe, sometimes life-threatening skin reactions that are often drug-induced. Severe cutaneous adverse reactions (SCARs) include: Erythema multiforme, Stevens-Johnson syndrome, toxic epidermal necrolysis, drug reaction with eosinophilia and systemic symptoms, and acute generalized exanthematous pustulosis.
C1869025	Drug-induced pancreatitis is usually an acute condition. If clinically suspected, it should always be confirmed by biochemical investigations - Definition of acute pancreatitis: o An inflammatory disease of the pancreas characterized by upper abdominal pain and vomiting; in severe cases - abdominal guarding, rigidity, rebound tenderness and diminution or loss of bowel sounds o Almost always accompanied by increased pancreatic enzymes - amylase and lipase - in the blood and urine o Other signs/findings are icterus, increased alkaline phosphatase and/or bilirubin, ileus, ascites, hyperglycemia, hypocalcemia and leukocytosis o Cullen's sign is sometimes associated with severe necrotizing pancreatitis - Severe attacks may lead to shock with renal and pulmonary insufficiency, which may be fatal.
C1869026	Agranulocytosis can occur as a reaction to a wide variety of toxic agents (including drugs - Life-threatening due to increased susceptibility to infection - Overall annual incidence less than 1:100,000 in the general population - Severe neutropenia (< 0.5 x 109/l of circulating granulocytes) associated with the sudden onset of signs and symptoms of bacterial infection o fever, malaise and prostration o oropharyngeal or anorectal lesions
C1869027	Urticaria: o Many possible causes o Characterized by multiple transient wheals, usually with itching - Angioedema: o Similar to urticaria but involving the deeper dermal, submucosal and subcutaneous tissues o Sometimes associated with severe respiratory distress due to edema of the upper airways (e.g., laryngeal obstruction) o Edema results from dilatation and increased permeability of the capillaries - Urticaria and angioedema may appear separately or together o Similar process may occur at mucosal surfaces of the upper respiratory or gastrointestinal tract - Urticaria and/or angioedema are classified as: o IgE-dependent o Complement-mediated o Non-immunologic o Idiopathic
C1869028	Asthma is a chronic inflammatory disorder of the airways in which mast cells, eosinophils and T lymphocytes play a role. The inflammation causes an increased airway responsiveness to a variety of stimuli leading to bronchospasm/ bronchoconstriction. Clinically, asthma is characterized by recurrent episodes of wheezing, breathlessness, chest tightness, and cough. Characteristic of these episodes is variable airflow limitation; this may resolve or partly reversed either spontaneously or with treatment. Bronchospasm/bronchoconstriction is defined as airflow limitation due to contraction of bronchial smooth muscle; an improvement in airflow in response to bronchodilators is essential for the diagnosis. Bronchospasm, along with airway inflammation, is a contributing factor to airway limitation in asthmatics. Aggravated bronchospasm/bronchoconstriction and paradoxical bronchospasm are terms used to describe an unexpected episode of bronchospasm related to inhalation aerosol treatment; its causes can be either the inhalation procedure or irritation due to the aerosol (active or inactive ingredients).
