CUI,LAT,STR,CNT,cadec_feq,cometa_feq,psy-tar_feq
C0000768,ENG,Birth defects,7,0,0,0
C0000768,ENG,Congenital abnormality NOS,7,0,0,0
C0000768,ENG,Congenital anomaly,7,0,0,0
C0000768,ENG,Anomaly anomaly congen,7,0,0,0
C0000768,ENG,"Congenital anomaly, unspecified",7,0,0,0
C0000768,ENG,Developmental disturbance,7,0,0,0
C0000768,ENG,Fetal malformation,7,0,0,0
C0001175,ENG,Acquired immuno deficiency syndrome,7,0,0,0
C0001175,ENG,Acquired immunodeficiency syndrome,7,0,107,0
C0001175,ENG,AIDS,7,0,81,0
C0001175,ENG,Acquired immune deficiency syndr,7,0,0,0
C0001175,ENG,Autoimmune deficiency syndrome,7,0,0,0
C0001175,ENG,Acquired immune deficiency syndrome,7,0,16,0
C0001175,ENG,"Acquired immunodeficiency syndrome, unspecified",7,0,0,0
C0001198,ENG,Acrodynia,8,0,1,0
C0001198,ENG,Erythredema polyneuropathy,8,0,1,0
C0001198,ENG,Feer's disease,8,0,0,0
C0001198,ENG,Swift disease,8,0,3,0
C0001198,ENG,Disease pink,8,0,0,0
C0001198,ENG,Bilderbeck's disease,8,0,0,0
C0001198,ENG,Swift-Feer disease,8,0,0,0
C0001198,ENG,Selter's disease,8,0,0,0
C0001622,ENG,Hyperadrenocorticism,11,0,0,0
C0001622,ENG,Adrenal cortex hyperfunction,11,0,0,0
C0001622,ENG,Hypercorticism adrenal,11,0,0,0
C0001622,ENG,Hypercortisonism,11,0,0,0
C0001622,ENG,Hypercortisolism,11,0,11,0
C0001622,ENG,Hypercortisolemia,11,0,0,0
C0001622,ENG,Adrenal cortical hyperfunctions,11,0,0,0
C0001622,ENG,Hyperadrenalism,11,0,0,0
C0001622,ENG,Hypercorticoidism,11,0,0,0
C0001622,ENG,Hyperadrenalcorticalism,11,0,0,0
C0001622,ENG,Hyperadrenocorticalism,11,0,0,0
C0001973,ENG,Alcoholism,7,0,14,0
C0001973,ENG,Alcohol dependence syndrome,7,0,1,0
C0001973,ENG,"Alcohol abuse, continuous drinking behaviour",7,0,0,0
C0001973,ENG,Dipsomania,7,0,1,0
C0001973,ENG,Alcohol abuse chronic,7,0,0,0
C0001973,ENG,Alcohol addiction,7,0,4,0
C0001973,ENG,Chronic alcoholism,7,0,2,0
C0002962,ENG,Anginal discomfort,8,0,0,0
C0002962,ENG,Angina,8,0,66,0
C0002962,ENG,Angina pectoris,8,0,6,0
C0002962,ENG,Anginal pain,8,0,0,0
C0002962,ENG,Stenocardia,8,0,1,0
C0002962,ENG,Anginal syndrome,8,0,1,0
C0002962,ENG,Angina syndrome,8,0,0,0
C0002962,ENG,Ischemic chest pain,8,0,1,0
C0002994,ENG,Angio-oedema,7,0,4,0
C0002994,ENG,Angioedema,7,0,28,0
C0002994,ENG,Edema angioneurotic,7,0,0,0
