CUI	SAB	DEF
C0000768	MSH	Malformations of organs or body parts during development in utero.
C0000768	MSHPOR	Malformações de órgãos ou partes do corpo durante o desenvolvimento no útero.
C0000768	MSHCZE	Malformace orgánů nebo částí těla během vývoje in utero.
C0000768	NCI	Any abnormality, anatomical or biochemical, evident at birth or during the neonatal period.
C0000768	NCI_NICHD	A morphologic defect of an organ, part of an organ, or larger region of the body that results from an intrinsically abnormal developmental process during gestation.
C0000768	NCI_FDA	Any abnormality either hereditary or due an influence that happen during the pregnancy until the moment of birth.
C0001175	MSH	An acquired defect of cellular immunity associated with infection by the human immunodeficiency virus (HIV), a CD4-positive T-lymphocyte count under 200 cells/microliter or less than 14% of total lymphocytes, and increased susceptibility to opportunistic infections and malignant neoplasms. Clinical manifestations also include emaciation (wasting) and dementia. These elements reflect criteria for AIDS as defined by the CDC in 1993.
C0001175	CSP	one or more indicator diseases, depending on laboratory evidence of HIV infection (CDC); late phase of HIV infection characterized by marked suppression of immune function resulting in opportunistic infections, neoplasms, and other systemic symptoms (NIAID).
C0001175	MSHCZE	Získaná porucha buněčné imunity spojená s infekcí virem lidské imunodeficience (HIV), který napadá buňky nezbytné ke správné imunitní odpovědi (některé bílé krvinky - CD4 lymfocyty, makrofágy), ale i buňky v nervovém systému aj. Přenáší se zejm. pohlavním stykem, krví (transfuze, injekční stříkačky u narkomanů) a též z matky na plod. Vývoj HIV infekce se dělí do 3 různých stadií zejm. podle klinického průběhu a laboratorních hodnot. Laboratorně se sleduje zejm. počet CD4 lymfocytů (3 kategorie podle počtu nad 500, 200-500 a pod 200 buněk v mikrolitru), dále tzv. virová nálož, p24 antigenemie, beta2-mikroglobulin, neopterin. I během bezpříznakové doby je člověk infekční. Onemocnění zatím nelze vyléčit. (cit. Velký lékařský slovník online, 2015 http://lekarske.slovniky.cz)
C0001175	MEDLINEPLUS	<h3>What is HIV?</h3> <p>HIV stands for human immunodeficiency virus. It harms your immune system by destroying a type of white blood cell that helps your body fight infection. This puts you at risk for serious <a href=https://medlineplus.gov/hivaidsandinfections.html>infections</a> and certain cancers.</p> <h3>What is AIDS?</h3> <p>AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. It happens when the body's immune system is badly damaged because of the virus. Not everyone with HIV develops AIDS.</p> <h3>How does HIV spread?</h3> <p>HIV can spread in different ways:</p> <ul> <li>Through unprotected sex with a person with HIV. This is the most common way that it spreads.</li> <li>By sharing drug needles</li> <li>Through contact with the blood of a person with HIV</li> <li>From mother to baby during <a href=https://medlineplus.gov/hivaidsandpregnancy.html>pregnancy</a>, childbirth, or breastfeeding</li> </ul> <h3>Who is at risk for HIV infection?</h3> <p>Anyone can get HIV, but certain groups have a higher risk of getting it:</p> <ul> <li>People who have another <a href=https://medlineplus.gov/sexuallytransmitteddiseases.html>sexually transmitted disease</a> (STD). Having an STD can increase your risk of getting or spreading HIV.</li> <li>People who inject drugs with shared needles</li> <li>* Gay and bisexual men, especially those who are Black/African American or Hispanic/Latino American</li> <li>People who engage in risky sexual behaviors, such as not using condoms</li> </ul> <h3>What are the symptoms of HIV/AIDS?</h3> <p>The first signs of HIV infection may be flu-like symptoms:</p> <ul> <li><a href=https://medlineplus.gov/fever.html>Fever</a></li> <li>Chills</li> <li><a href=https://medlineplus.gov/rashes.html>Rash</a></li> <li>Night sweats</li> <li>Muscle aches</li> <li><a href=https://medlineplus.gov/sorethroat.html>Sore throat</a></li> <li><a href=https://medlineplus.gov/fatigue.html>Fatigue</a></li> <li>Swollen lymph nodes</li> <li>Mouth ulcers</li> </ul> <p>These symptoms may come and go within two to four weeks. This stage is called acute HIV infection.</p> <p>If the infection is not treated, it becomes chronic HIV infection. Often, there are no symptoms during this stage. If it is not treated, eventually the virus will weaken your body's immune system. Then the infection will progress to AIDS. This is the late stage of HIV infection. With AIDS, your immune system is badly damaged. You can get more and more severe infections. These are known as opportunistic infections (OIs).</p> <p>Some people may not feel sick during the earlier stages of HIV infection. So the only way to know for sure whether you have HIV is to get tested.</p> <h3>How do I know if I have HIV?</h3> <p>A <a href=https://medlineplus.gov/lab-tests/hiv-screening-test/>blood test</a> can tell if you have HIV infection. Your health care provider can do the test, or you can use a home testing kit. You can also use the <a href=https://gettested.cdc.gov/ target=_blank>CDC Testing Locator</a> to find free testing sites.</p> <h3>What are the treatments for HIV/AIDS?</h3> <p>There is no cure for HIV infection, but it can be treated with <a href=https://medlineplus.gov/hivaidsmedicines.html>medicines</a>. This is called antiretroviral therapy (ART). ART can make HIV infection a manageable chronic condition. It also reduces the risk of spreading the virus to others.</p> <p>Most people with HIV live long and healthy lives if they get and stay on ART. It's also important to take care of yourself. Making sure that you have the support you need, living a healthy lifestyle, and getting regular medical care can help you <a href=https://medlineplus.gov/livingwithhivaids.html>enjoy a better quality of life</a>.</p> <h3>Can HIV/AIDS be prevented?</h3> <p>You can reduce the risk of spreading HIV by</p> <ul> <li>Getting tested for HIV</li> <li>Choosing less risky sexual behaviors. This includes limiting the number of sexual partners you have and using condoms every time you have sex.</li> <li>Getting tested and treated for sexually transmitted diseases (STDs)</li> <li>Not injecting drugs</li> <li>Talking to your health care provider about <a href=https://medlineplus.gov/hivprepandpep.html>medicines to prevent HIV</a>: <ul> <li>PrEP (pre-exposure prophylaxis) is for people who don't already have HIV but are at very high risk of getting it. PrEP is daily medicine that can reduce this risk.</li> <li>PEP (post-exposure prophylaxis) is for people who have possibly been exposed to HIV. It is only for emergency situations. PEP must be started within 72 hours after a possible exposure to HIV.</li> </ul> </li> </ul> <p class=>NIH: National Institutes of Health</p>
